project,regime,algorithm,workers,reps,median_s,mean_s,std_s,run_cv,planned_s,planned_to_exec_ratio,overhead_us,overhead_share_pct,native_s,seq_s,vs_rr_pct,vs_qty_pct,vs_lpt_pct,vs_native_pct,exec_success_count,exec_error_count,result_dir
hugo,cold,FFD-Multifit,8,5,2439.700750895,2367.231717739,112.052653897,0.04733489039426364,49.4185,0.020255967860759526,134.29,5.50436359667209e-06,493.841683929,3294.183653532,-246.77097070223226,-156.04188720001792,-173.9867998390391,-394.0248728063542,5,0,20260706-123517
hugo,cold,LPT,8,5,890.444631759,873.231645049,27.197056902,0.03114529467203846,49.4185,0.05549867811811929,39.05,4.3854495391656125e-06,493.841683929,3294.183653532,-26.564845790363705,6.549553719216915,0.0,-80.30973502978334,5,0,20260706-123517
hugo,cold,Quantity,8,5,952.852198355,931.418053679,31.918238783,0.03426843473446368,49.865,0.05233235551755742,10.27,1.077816687386573e-06,493.841683929,3294.183653532,-35.435250260961226,0.0,-7.008584741840605,-92.94689560713395,5,0,20260706-123517
hugo,cold,Round-Robin,8,5,703.548150514,704.669348858,20.120506599,0.02855311733312604,51.7605,0.07357065747693983,8.751,1.243838107399852e-06,493.841683929,3294.183653532,0.0,26.163978870112015,20.98911875922048,-42.46431060994633,5,0,20260706-123517
hugo,warm,FFD-Multifit,2,5,184.232084202,187.194044825,4.045987642,0.021613869425079344,59.3965,0.322400412812326,165.6,8.988662355815779e-05,151.703124238,297.054692058,-27.867407774873982,-29.124113182402716,-41.32037529954663,-21.442511568164445,5,0,20260707-180210
hugo,warm,LPT,2,5,130.364842162,132.514732071,2.868730231,0.021648387210736423,59.397,0.45562130874357476,35.58,2.729263458608413e-05,151.703124238,297.054692058,9.519481883739248,8.63022199827334,0.0,14.065815838125618,5,0,20260707-180210
hugo,warm,Quantity,2,5,142.678295836,144.153129026,2.362858098,0.01639130634184032,80.454999999,0.5638909515114907,12.66,8.873108503168484e-06,151.703124238,297.054692058,0.9732538536419583,0.0,-9.445379191038695,5.949006289311065,5,0,20260707-180210
hugo,warm,Round-Robin,2,5,144.080565492,146.250355873,3.249029715,0.022215533737376836,74.907,0.51989662689212,7.2,4.99720415131198e-06,151.703124238,297.054692058,0.0,-0.9828191791776371,-10.521029368451913,5.024655084915261,5,0,20260707-180210
hugo,warm,FFD-Multifit,4,5,143.662802832,146.318358407,3.653737624,0.024971149647788845,49.4185,0.3439895298283317,164.82,0.00011472698342990102,78.317763097,297.054692058,-56.86733424701814,-93.28427651903971,-101.82098691764982,-83.43578410694302,5,0,20260707-180210
hugo,warm,LPT,4,5,71.183282287,72.369711671,1.524430024,0.021064475576885153,49.4185,0.6942430639929225,44.97,6.317494579512069e-05,78.317763097,297.054692058,22.274022814571993,4.22984275767782,0.0,9.109658560042925,5,0,20260707-180210
